Tip_name,Qe,Qe_sp_avg,L_avg,L_avg_sp_avg,W_avg,W_avg_sp_avg,Spore_amyloidity
Typhula_sp_MO474304_PA,2.5,2.5,11,11,4.5,4.5,1
Mycena_acicula_MO474055_NC,2.5,2.5,9.1,9.1,3.7,3.7,0
Hemimycena_sp_MO482180_TN,2.7,2.7,10.6,10.6,4,4,0
Hemimycena_cf_cucullata_MO482304_TN,2,2,8.2,8.2,4,4,0
Lactocollybia_sp_MO453469_TENN_F_076003_OH,1.5,1.5,7.7,7.7,5.1,5.1,0
Lactocollybia_sp_MO268952_CA,1.8,1.8,8,8,4.4,4.4,0
Henningsomyces_sp_MO458152_TENN_F_075942_OH,1.2,1.2,6.7,6.7,5.8,5.8,0
Rectipilus_cf_davidii_MO473873_PA,1.1,1.2,7.1,7,6.5,6.3,0
Rectipilus_cf_davidii_MO470774_NY,1.2,1.2,6.8,7,6,6.3,0
Baeospora_myriadophylla_MO465485_NY,1.5,1.5,3.5,3.5,2.3,2.3,1
Cystostereum_murrayi_MO471157_NY,1.8,1.8,4.3,4.4,2.5,2.6,0
Cystostereum_murrayi_MO471154_NY,1.7,1.8,4.5,4.4,2.7,2.6,0
Mycopan_scabripes_MO454006_TENN_F_075999_OH,1.8,1.8,8.7,8.7,4.9,4.9,1
Mycopan_sp_MO303448_TENN_F_075944_OH,1.6,1.6,7.2,7.2,4.6,4.6,1
Phloeomana_sp_MO482167_TN,3.2,3.2,9.3,9.3,2.9,2.9,0
Phloeomana_sp_MO465292_TENN_F_075989_NY,2,2,6.5,6.5,3.3,3.3,0
Phloeomana_clavata_MO366859_OH,1.1,1.1,6.2,6.2,5.4,5.4,0
Phloeomana_speirea_MO482299_TN,1.7,1.7,8.3,8.3,5,5,0
Hemimycena_crispula_MO278117_OH,1.9,2,7.6,8.8,4,4.3,0
Hemimycena_crispula_MO468704_PA,2,2,9.3,8.8,4.7,4.3,0
Hemimycena_crispula_var_tetraspora_MO482178_TN,2.2,2,9.4,8.8,4.3,4.3,0
Porotheleum_sp_MO476044_TN,1.8,1.9,8.2,8.3,4.6,4.5,0
Porotheleum_sp_MO482305_TN,1.9,1.9,8.4,8.3,4.4,4.5,0
Porotheleum_sp_MO302934_OH,2.1,2.1,9,9,4.4,4.4,0
Porotheleum_sp_MO482303_TN,1.8,1.8,8,8,4.5,4.5,0
Pulverulina_ulmicola_MO474578_TN,1.5,1.5,7,7,4.7,4.7,0
Pseudohydropus_sp_MO476221_TN,1.2,1.2,7,7.4,5.9,6.4,0
Pseudohydropus_sp_MO476281_TN,1.1,1.2,7.7,7.4,6.9,6.4,0
Pseudohydropus_sp_MO476290_TN,1.3,1.3,7.2,7.2,5.7,5.7,0
Hydropus_praedecurrens_MO402721_TENN_F_075943_OH,1.6,1.7,7.2,7.3,4.6,4.5,1
Hydropus_praedecurrens_MO476571_PA,1.9,1.7,7.1,7.3,3.8,4.5,1
Hydropus_praedecurrens_MO476621_PA,1.5,1.7,6.9,7.3,4.7,4.5,1
Hydropus_praedecurrens_MO470225_PA,1.7,1.7,7.5,7.3,4.5,4.5,1
Hydropus_praedecurrens_MO465481_TENN_F_075991_NY,1.6,1.7,7.8,7.3,5,4.5,1
Hydropus_rugosodiscus_MO479828_NC,1.5,1.5,7.5,7.3,5.1,4.9,1
Hydropus_rugosodiscus_MO479954_NC,1.6,1.5,8.2,7.3,5.2,4.9,1
Hydropus_rugosodiscus_MO465301_TENN_F_0_75997_NY,1.4,1.5,6.2,7.3,4.4,4.9,1
Delicatula_integrella_MO471252_TN,1.7,1.7,6.8,6.8,4.1,4.2,1
Delicatula_integrella_MO471251_TN,1.6,1.7,6.7,6.8,4.2,4.2,1
Clitocybula_oculus_MO465483_NY,1.3,1.3,5.6,5.6,4.4,4.4,1
Clitocybula_sp_MO474311_TN,1.4,1.4,6.3,6.3,4.7,4.7,1
Gerronema_subclavatum_MO458276_OH,1.9,1.9,8.2,8.2,4.3,4.3,0
